v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    79.000000                       0.000863          0.000187
    80.000000                       0.000877          0.000190
    81.000000                       0.000892          0.000193
    82.000000                       0.000908          0.000196
    83.000000                       0.000924          0.000200
    84.000000                       0.000941          0.000204
    85.000000                       0.000959          0.000207
    86.000000                       0.000978          0.000211
    87.000000                       0.000997          0.000216
    88.000000                       0.001018          0.000220
    89.000000                       0.001040          0.000225
    90.000000                       0.001062          0.000230
    91.000000                       0.001086          0.000235
    92.000000                       0.001112          0.000240
    93.000000                       0.001139          0.000246
    94.000000                       0.001168          0.000253
    95.000000                       0.001198          0.000259
    96.000000                       0.001231          0.000266
    97.000000                       0.001266          0.000274
    98.000000                       0.001304          0.000282
    99.000000                       0.001345          0.000291
   100.000000                       0.001390          0.000301
   101.000000                       0.001438          0.000311
   102.000000                       0.001491          0.000323
   103.000000                       0.001550          0.000335
   104.000000                       0.001614          0.000349
   105.000000                       0.001686          0.000365
   106.000000                       0.001767          0.000382
   107.000000                       0.001858          0.000402
   108.000000                       0.001961          0.000424
   109.000000                       0.002079          0.000450
   110.000000                       0.002216          0.000479
   111.000000                       0.002376          0.000514
   112.000000                       0.002565          0.000555
   113.000000                       0.002792          0.000604
   114.000000                       0.003067          0.000663
   115.000000                       0.003406          0.000737
   116.000000                       0.003833          0.000829
   117.000000                       0.004382          0.000948
   118.000000                       0.005106          0.001104
   119.000000                       0.006090          0.001317
   120.000000                       0.007476          0.001617
   121.000000                       0.009521          0.002059
   122.000000                       0.012713          0.002749
   123.000000                       0.018079          0.003910
   124.000000                       0.028021          0.006060
   125.000000                       0.048897          0.010574
   126.000000                       0.098202          0.021237
   127.000000                       0.188316          0.040724
   128.000000                       0.165362          0.035760
   129.000000                       0.080959          0.017508
   130.000000                       0.041831          0.009046
   131.000000                       0.024920          0.005389
   132.000000                       0.016604          0.003591
   133.000000                       0.012010          0.002597
   134.000000                       0.009239          0.001998
   135.000000                       0.007453          0.001612
   136.000000                       0.006244          0.001350
   137.000000                       0.005392          0.001166
   138.000000                       0.004774          0.001032
   139.000000                       0.004316          0.000933
   140.000000                       0.003970          0.000858
   141.000000                       0.003705          0.000801
   142.000000                       0.003501          0.000757
   143.000000                       0.003343          0.000723
   144.000000                       0.003222          0.000697
   145.000000                       0.003129          0.000677
   146.000000                       0.003059          0.000661
   147.000000                       0.003007          0.000650
   148.000000                       0.002972          0.000643
   149.000000                       0.002950          0.000638
   150.000000                       0.002940          0.000636
   151.000000                       0.002939          0.000636
   152.000000                       0.002948          0.000638
   153.000000                       0.002965          0.000641
   154.000000                       0.002989          0.000646
   155.000000                       0.003020          0.000653
   156.000000                       0.003057          0.000661
   157.000000                       0.003100          0.000670
   158.000000                       0.003149          0.000681
   159.000000                       0.003205          0.000693
   160.000000                       0.003265          0.000706
   161.000000                       0.003332          0.000720
   162.000000                       0.003404          0.000736
   163.000000                       0.003482          0.000753
   164.000000                       0.003566          0.000771
   165.000000                       0.003656          0.000791
   166.000000                       0.003752          0.000811
   167.000000                       0.003855          0.000834
   168.000000                       0.003965          0.000857
   169.000000                       0.004082          0.000883
   170.000000                       0.004207          0.000910
   171.000000                       0.004339          0.000938
   172.000000                       0.004481          0.000969
